metro id,State,County Name,1-Unit,2-unit,3-unit,4-unit,studio rent,1 bdrm rent,2 bdrm rent,3 bdrm rent,4 bdrm rent
METRO38900M38900,OR,Columbia County,"$376,000 ","$481,000 ","$582,000 ","$721,000 ",1245,1331,1536,2193,2657
METRO38900M38900,OR,Multnomah County,"$385,000 ","$492,000 ","$596,000 ","$739,000 ",1245,1331,1536,2193,2657
METRO38900M38900,OR,Washington County,"$394,000 ","$505,000 ","$611,000 ","$757,000 ",1245,1331,1536,2193,2657
METRO38900M38900,OR,Yamhill County,"$376,000 ","$481,000 ","$582,000 ","$721,000 ",1245,1331,1536,2193,2657
METRO38900M38900,WA,Clark County,"$376,000 ","$481,000 ","$582,000 ","$721,000 ",1245,1331,1536,2193,2657
METRO38900M38900,WA,Skamania County,"$376,000 ","$481,000 ","$582,000 ","$721,000 ",1245,1331,1536,2193,2657
METRO34980M34980,TN,Cannon County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Cheatham County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Davidson County,"$280,000 ","$359,000 ","$434,000 ","$538,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Dickson County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Robertson County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Rutherford County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Sumner County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Trousdale County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Williamson County,"$380,000 ","$486,000 ","$589,000 ","$730,000 ",998,1031,1197,1539,1930
METRO34980M34980,TN,Wilson County,"$285,000 ","$365,000 ","$442,000 ","$547,000 ",998,1031,1197,1539,1930
METRO12420M12420,TX,Bastrop County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",1059,1212,1434,1848,2207
METRO12420M12420,TX,Caldwell County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",1059,1212,1434,1848,2207
METRO12420M12420,TX,Hays County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",1059,1212,1434,1848,2207
METRO12420M12420,TX,Travis County,"$318,000 ","$407,000 ","$493,000 ","$611,000 ",1059,1212,1434,1848,2207
METRO12420M12420,TX,Williamson County,"$266,000 ","$340,000 ","$412,000 ","$511,000 ",1059,1212,1434,1848,2207
METRO19100M19100,TX,Collin County,"$285,000 ","$365,000 ","$442,000 ","$547,000 ",1029,1134,1352,1746,2309
METRO19100M19100,TX,Dallas County,"$246,000 ","$315,000 ","$381,000 ","$472,000 ",1029,1134,1352,1746,2309
METRO19100M19100,TX,Denton County,"$261,000 ","$334,000 ","$405,000 ","$502,000 ",1029,1134,1352,1746,2309
METRO19100M19100,TX,Ellis County,"$246,000 ","$315,000 ","$381,000 ","$472,000 ",1029,1134,1352,1746,2309
METRO19100M19100,TX,Hunt County,"$246,000 ","$315,000 ","$381,000 ","$472,000 ",1029,1134,1352,1746,2309
METRO19100M19100,TX,Kaufman County,"$246,000 ","$315,000 ","$381,000 ","$472,000 ",1029,1134,1352,1746,2309
METRO19100M19100,TX,Rockwall County,"$254,000 ","$325,000 ","$393,000 ","$487,000 ",1029,1134,1352,1746,2309
METRO19100MM2800,TX,Johnson County,"$218,000 ","$279,000 ","$337,000 ","$418,000 ",901,1021,1242,1661,2077
METRO19100MM2800,TX,Parker County,"$265,000 ","$339,000 ","$411,000 ","$509,000 ",901,1021,1242,1661,2077
METRO19100MM2800,TX,Tarrant County,"$218,000 ","$279,000 ","$337,000 ","$418,000 ",901,1021,1242,1661,2077
METRO21340M21340,TX,El Paso County,"$162,000 ","$207,000 ","$250,000 ","$310,000 ",548,687,831,1174,1415
METRO26420M26420,TX,Chambers County,"$237,000 ","$303,000 ","$367,000 ","$455,000 ",908,983,1176,1576,2010
METRO26420M26420,TX,Fort Bend County,"$228,000 ","$291,000 ","$353,000 ","$437,000 ",908,983,1176,1576,2010
METRO26420M26420,TX,Galveston County,"$210,000 ","$269,000 ","$326,000 ","$404,000 ",908,983,1176,1576,2010
METRO26420M26420,TX,Harris County,"$209,000 ","$267,000 ","$324,000 ","$401,000 ",908,983,1176,1576,2010
METRO26420M26420,TX,Liberty County,"$209,000 ","$267,000 ","$324,000 ","$401,000 ",908,983,1176,1576,2010
METRO26420M26420,TX,Montgomery County,"$217,000 ","$277,000 ","$336,000 ","$416,000 ",908,983,1176,1576,2010
METRO26420M26420,TX,Waller County,"$215,000 ","$276,000 ","$334,000 ","$413,000 ",908,983,1176,1576,2010
METRO41700M41700,TX,Bandera County,"$203,000 ","$260,000 ","$315,000 ","$390,000 ",761,912,1114,1446,1793
METRO41700M41700,TX,Bexar County,"$196,000 ","$250,000 ","$303,000 ","$376,000 ",761,912,1114,1446,1793
METRO41700M41700,TX,Comal County,"$247,000 ","$316,000 ","$383,000 ","$474,000 ",761,912,1114,1446,1793
METRO41700M41700,TX,Guadalupe County,"$214,000 ","$274,000 ","$331,000 ","$410,000 ",761,912,1114,1446,1793
METRO41700M41700,TX,Wilson County,"$261,000 ","$334,000 ","$405,000 ","$502,000 ",761,912,1114,1446,1793
METRO42660MM7600,WA,King County,"$489,000 ","$626,000 ","$758,000 ","$939,000 ",1523,1599,1906,2694,3172
METRO42660MM7600,WA,Snohomish County,"$466,000 ","$597,000 ","$723,000 ","$896,000 ",1523,1599,1906,2694,3172
